agency,city,population_group,country_division,country_region,agency_indicator,core_city,population
ALAST0000,MONTGOMERY                    ,8D,6,3,0,N,000000000
ALDI00300,ATMORE                        ,7 ,6,3,7,N,000000000
AL0010000,BIRMINGHAM                    ,9A,6,3,2,N,000144485
AL0010100,BESSEMER                      ,4 ,6,3,1,N,000026592
AL0010200,BIRMINGHAM                    ,2 ,6,3,1,Y,000210758
AL0010300,BIRMINGHAM                    ,5 ,6,3,1,N,000020737
AL0010400,FAIRFIELD                     ,5 ,6,3,1,N,000010869
AL0010500,GARDENDALE                    ,5 ,6,3,1,N,000013675
AL0010600,LEEDS                         ,5 ,6,3,1,N,000009859
AL0010700,MIDFIELD                      ,6 ,6,3,1,N,000005195
AL0010800,BIRMINGHAM                    ,6 ,6,3,1,N,000006176
AL0010900,BIRMINGHAM                    ,4 ,6,3,1,N,000034179
AL0011000,BIRMINGHAM                    ,4 ,6,3,1,N,000025823
AL0011100,FULTONDALE                    ,6 ,6,3,1,N,000009188
AL0011200,HOOVER                        ,3 ,6,3,1,Y,000060877
AL0011300,IRONDALE                      ,5 ,6,3,1,N,000012439
AL0011400,PLEASANT GROVE                ,5 ,6,3,1,N,000010293
AL0011500,ROOSEVELT CITY                ,7 ,6,3,0,N,000000000
AL0011600,GRAYSVILLE                    ,7 ,6,3,0,N,000002084
AL0011700,BIRMINGHAM                    ,7 ,6,3,0,N,000000000
AL0011800,BESSEMER                      ,6 ,6,3,1,N,000002846
AL0011900,BESSEMER                      ,5 ,6,3,1,N,000015632
AL0012000,BESSEMER                      ,7 ,6,3,1,N,000002145
AL0012100,TRUSSVILLE                    ,5 ,6,3,1,N,000020686
AL0012200,ADAMSVILLE                    ,6 ,6,3,1,N,000004377
AL0012300,WARRIOR                       ,6 ,6,3,1,N,000003204
AL0012400,BIRMINGHAM                    ,7 ,6,3,3,N,000000000
AL0012500,TRAFFORD                      ,7 ,6,3,1,N,000000632
AL0012600,MORRIS                        ,7 ,6,3,1,N,000001950
AL0012700,BROOKSIDE                     ,7 ,6,3,1,N,000001322
AL0012800,BIRMINGHAM                    ,7 ,6,3,0,N,000000054
AL0012900,KIMBERLY                      ,6 ,6,3,1,N,000002931
AL0013000,BIRMINGHAM                    ,7 ,6,3,0,N,000000202
AL0013200,MCCALLA                       ,7 ,6,3,6,N,000000000
AL0013400,BIRMINGHAM                    ,7 ,6,3,3,N,000000000
AL0013500,BIRMINGHAM                    ,7 ,6,3,5,N,000000000
AL0014000,BIRMINGHAM                    ,7 ,6,3,3,N,000000000
AL0014100,BIRMINGHAM                    ,7 ,6,3,3,N,000000000
AL0014500,TRUSSVILLE                    ,7 ,6,3,5,N,000000000
AL0020000,MOBILE                        ,9A,6,3,2,N,000105302
AL0020100,MOBILE                        ,2 ,6,3,1,Y,000249921
AL0020200,PRICHARD                      ,5 ,6,3,1,N,000022299
AL0020300,MOBILE                        ,6 ,6,3,1,N,000005927
AL0020400,CITRONELLE                    ,6 ,6,3,1,N,000003884
AL0020500,SARALAND                      ,5 ,6,3,1,N,000013967
AL0020600,BAYOU LA BATRE                ,6 ,6,3,1,N,000002607
AL0020700,SATSUMA                       ,6 ,6,3,1,N,000006187
AL0020800,MOUNT VERNON                  ,7 ,6,3,1,N,000001508
AL0020900,WILMER                        ,7 ,6,3,0,N,000000000
AL0021200,CREOLA                        ,7 ,6,3,1,N,000001961
AL0021300,MOBILE                        ,7 ,6,3,5,N,000000000
AL0021400,MOBILE                        ,7 ,6,3,3,N,000000000
AL0021500,DAUPHIN ISLAND                ,7 ,6,3,1,N,000001254
AL0021700,MOBILE                        ,7 ,6,3,3,N,000000000
AL003FA00,MONTGOMERY                    ,7 ,6,3,0,N,000000000
AL0030000,MONTGOMERY                    ,9B,6,3,2,N,000025785
AL0030100,MONTGOMERY                    ,2 ,6,3,1,Y,000199565
AL0030300,MONTGOMERY                    ,9E,6,3,0,N,000000000
AL0030400,MONTGOMERY                    ,9D,6,3,0,N,000000000
AL0030500,MONTGOMERY                    ,9D,6,3,6,N,000000000
AL0030600,MONTGOMERY                    ,7 ,6,3,3,N,000000000
AL0030700,MONTGOMERY                    ,7 ,6,3,3,N,000000000
AL0030800,MONTGOMERY                    ,9D,6,3,6,N,000000000
AL0031000,MONTGOMERY                    ,9E,6,3,0,N,000000000
AL0031300,MONTGOMERY                    ,9D,6,3,0,N,000000000
AL0031400,MONTGOMERY                    ,9E,6,3,6,N,000000000
AL0031900,MONTGOMERY                    ,7 ,6,3,0,N,000000000
