agency,city,population_group,country_division,country_region,agency_indicator,core_city,population
ALAST0000,MONTGOMERY                    ,8D,6,3,4,N,000000000
AL0010000,BIRMINGHAM                    ,9A,6,3,2,N,000147595
AL0010100,BESSEMER                      ,4 ,6,3,1,N,000028217
AL0010200,BIRMINGHAM                    ,2 ,6,3,1,Y,000227106
AL0010300,BIRMINGHAM                    ,5 ,6,3,1,N,000020952
AL0010400,FAIRFIELD                     ,5 ,6,3,1,N,000011443
AL0010500,GARDENDALE                    ,5 ,6,3,1,N,000013235
AL0010600,LEEDS                         ,5 ,6,3,1,N,000009436
AL0010700,MIDFIELD                      ,6 ,6,3,1,N,000005196
AL0010800,BIRMINGHAM                    ,6 ,6,3,1,N,000006553
AL0010900,BIRMINGHAM                    ,4 ,6,3,1,N,000031074
AL0011000,BIRMINGHAM                    ,5 ,6,3,1,N,000023602
AL0011100,FULTONDALE                    ,6 ,6,3,1,N,000006948
AL0011200,HOOVER                        ,3 ,6,3,1,Y,000049832
AL0011300,IRONDALE                      ,6 ,6,3,1,N,000009471
AL0011400,PLEASANT GROVE                ,5 ,6,3,1,N,000010323
AL0011500,ROOSEVELT CITY                ,7 ,6,3,0,N,000000000
AL0011600,GRAYSVILLE                    ,7 ,6,3,1,N,000002399
AL0011700,BIRMINGHAM                    ,7 ,6,3,0,N,000000000
AL0011800,BESSEMER                      ,6 ,6,3,1,N,000003358
AL0011900,BESSEMER                      ,5 ,6,3,1,N,000015816
AL0012000,BESSEMER                      ,7 ,6,3,1,N,000002265
AL0012100,TRUSSVILLE                    ,5 ,6,3,1,N,000018200
AL0012200,ADAMSVILLE                    ,6 ,6,3,1,N,000004771
AL0012300,WARRIOR                       ,6 ,6,3,1,N,000002982
AL0012400,BIRMINGHAM                    ,7 ,6,3,3,N,000000000
AL0012500,TRAFFORD                      ,7 ,6,3,0,N,000000497
AL0012600,MORRIS                        ,7 ,6,3,1,N,000001910
AL0012700,BROOKSIDE                     ,7 ,6,3,1,N,000001330
AL0012800,BIRMINGHAM                    ,7 ,6,3,0,N,000000080
AL0012900,KIMBERLY                      ,6 ,6,3,1,N,000002592
AL0013000,BIRMINGHAM                    ,7 ,6,3,0,N,000000155
AL0020000,MOBILE                        ,9B,6,3,2,N,000087509
AL0020100,MOBILE                        ,1C,6,3,1,Y,000253842
AL0020200,PRICHARD                      ,4 ,6,3,1,N,000028087
AL0020300,MOBILE                        ,6 ,6,3,1,N,000006000
AL0020400,CITRONELLE                    ,6 ,6,3,1,N,000003716
AL0020500,SARALAND                      ,5 ,6,3,1,N,000012839
AL0020600,BAYOU LA BATRE                ,6 ,6,3,1,N,000002761
AL0020700,SATSUMA                       ,6 ,6,3,1,N,000006032
AL0020800,MOUNT VERNON                  ,7 ,6,3,1,N,000000821
AL0020900,WILMER                        ,7 ,6,3,0,N,000000000
AL0021200,CREOLA                        ,7 ,6,3,1,N,000002084
AL0021400,MOBILE                        ,7 ,6,3,3,N,000000000
AL0021500,DAUPHIN ISLAND                ,7 ,6,3,1,N,000001568
AL003FA00,MONTGOMERY                    ,7 ,6,3,3,N,000000000
AL0030000,MONTGOMERY                    ,9C,6,3,2,N,000021825
AL0030100,MONTGOMERY                    ,2 ,6,3,1,Y,000202062
AL0030300,MONTGOMERY                    ,9E,6,3,5,N,000000000
AL0030400,MONTGOMERY                    ,9D,6,3,5,N,000000000
AL0030500,MONTGOMERY                    ,9D,6,3,5,N,000000000
AL0030600,MONTGOMERY                    ,7 ,6,3,3,N,000000000
AL0030700,MONTGOMERY                    ,7 ,6,3,3,N,000000000
AL0030800,MONTGOMERY                    ,9D,6,3,5,N,000000000
AL0031300,MONTGOMERY                    ,9D,6,3,5,N,000000000
AL0031900,MONTGOMERY                    ,7 ,6,3,5,N,000000000
AL0032200,MONTGOMERY                    ,7 ,6,3,0,N,000000000
AL0040000,PRATTVILLE                    ,9C,6,3,2,N,000019258
AL0040100,PRATTVILLE                    ,4 ,6,3,1,N,000030439
AL0040200,AUTAUGAVILLE                  ,7 ,6,3,1,N,000000885
AL0050000,BAY MINETTE                   ,8B,6,3,2,N,000087081
AL0050100,BAY MINETTE                   ,6 ,6,3,1,N,000007674
AL0050200,FAIRHOPE                      ,5 ,6,3,1,N,000016735
AL0050300,FOLEY                         ,5 ,6,3,1,N,000013463
AL0050400,GULF SHORES                   ,6 ,6,3,1,N,000009486
AL0050500,ROBERTSDALE                   ,6 ,6,3,1,N,000004976
AL0050600,LOXLEY                        ,7 ,6,3,1,N,000001587
AL0050700,SILVERHILL                    ,7 ,6,3,1,N,000000704
AL0050800,DAPHNE                        ,5 ,6,3,1,N,000019352
AL0050900,SUMMERDALE                    ,7 ,6,3,1,N,000000701
AL0051000,ELBERTA                       ,7 ,6,3,1,N,000000591
AL0051200,ORANGE BEACH                  ,6 ,6,3,1,N,000005810
AL0051300,SPANISH FORT                  ,6 ,6,3,1,N,000005619
AL0060000,CLAYTON                       ,8C,6,3,2,N,000010334
AL0060100,EUFAULA                       ,5 ,6,3,1,N,000013272
AL0060200,CLAYTON                       ,7 ,6,3,1,N,000001383
AL0060300,CLIO                          ,7 ,6,3,1,N,000002209
AL0060400,LOUISVILLE                    ,7 ,6,3,1,N,000000569
AL0060700,EUFAULA                       ,7 ,6,3,1,N,000000318
AL0070000,CENTREVILLE                   ,9C,6,3,2,N,000012394
AL0070100,CENTREVILLE                   ,6 ,6,3,1,N,000002511
AL0070200,BRENT                         ,6 ,6,3,1,N,000004328
AL0070300,WEST BLOCTON                  ,7 ,6,3,1,N,000001425
AL0070400,WOODSTOCK                     ,7 ,6,3,1,N,000001018
AL0080000,ONEONTA                       ,9B,6,3,2,N,000045722
AL0080100,ONEONTA                       ,6 ,6,3,1,N,000006860
AL0080200,BLOUNTSVILLE                  ,7 ,6,3,1,N,000001969
AL0080300,CLEVELAND                     ,7 ,6,3,1,N,000001405
AL0080400,ALTOONA                       ,7 ,6,3,1,N,000000843
AL0080500,ONEONTA                       ,7 ,6,3,1,N,000000497
AL0090000,UNION SPRINGS                 ,8D,6,3,2,N,000006231
AL0090100,UNION SPRINGS                 ,6 ,6,3,1,N,000004592
AL0100000,GREENVILLE                    ,8C,6,3,2,N,000011163
AL0100100,GREENVILLE                    ,6 ,6,3,1,N,000007067
AL0100200,GEORGIANA                     ,7 ,6,3,1,N,000001593
AL0100300,MC KENZIE                     ,7 ,6,3,1,N,000000610
AL0110000,ANNISTON                      ,9B,6,3,2,N,000052730
