agency,city,population_group,country_division,country_region,agency_indicator,core_city,population
ALAST0000,MONTGOMERY                    ,8D,6,3,4,N,000000000
AL0010000,BIRMINGHAM                    ,9A,6,3,2,N,000150404
AL0010100,BESSEMER                      ,4 ,6,3,1,N,000028479
AL0010200,BIRMINGHAM                    ,2 ,6,3,1,Y,000227713
AL0010300,BIRMINGHAM                    ,5 ,6,3,1,N,000021057
AL0010400,FAIRFIELD                     ,5 ,6,3,1,N,000011303
AL0010500,GARDENDALE                    ,5 ,6,3,1,N,000013626
AL0010600,LEEDS                         ,5 ,6,3,1,N,000009494
AL0010700,MIDFIELD                      ,6 ,6,3,1,N,000005158
AL0010800,BIRMINGHAM                    ,6 ,6,3,1,N,000006505
AL0010900,BIRMINGHAM                    ,4 ,6,3,1,N,000031032
AL0011000,BIRMINGHAM                    ,5 ,6,3,1,N,000023771
AL0011100,FULTONDALE                    ,6 ,6,3,1,N,000006945
AL0011200,HOOVER                        ,3 ,6,3,1,Y,000050456
AL0011300,IRONDALE                      ,6 ,6,3,1,N,000009426
AL0011400,PLEASANT GROVE                ,5 ,6,3,1,N,000010299
AL0011500,ROOSEVELT CITY                ,7 ,6,3,0,N,000000000
AL0011600,GRAYSVILLE                    ,7 ,6,3,0,N,000002367
AL0011700,BIRMINGHAM                    ,7 ,6,3,0,N,000000000
AL0011800,BESSEMER                      ,6 ,6,3,1,N,000003247
AL0011900,BESSEMER                      ,5 ,6,3,1,N,000015708
AL0012000,BESSEMER                      ,7 ,6,3,1,N,000002277
AL0012100,TRUSSVILLE                    ,5 ,6,3,1,N,000018943
AL0012200,ADAMSVILLE                    ,6 ,6,3,1,N,000004722
AL0012300,WARRIOR                       ,6 ,6,3,1,N,000003003
AL0012400,BIRMINGHAM                    ,7 ,6,3,3,N,000000000
AL0012500,TRAFFORD                      ,7 ,6,3,0,N,000000493
AL0012600,MORRIS                        ,7 ,6,3,1,N,000001904
AL0012700,BROOKSIDE                     ,7 ,6,3,1,N,000001323
AL0012800,BIRMINGHAM                    ,7 ,6,3,0,N,000000080
AL0012900,KIMBERLY                      ,6 ,6,3,1,N,000002743
AL0013000,BIRMINGHAM                    ,7 ,6,3,0,N,000000148
AL0020000,MOBILE                        ,9B,6,3,2,N,000091280
AL0020100,MOBILE                        ,1C,6,3,1,Y,000251041
AL0020200,PRICHARD                      ,4 ,6,3,1,N,000027691
AL0020300,MOBILE                        ,6 ,6,3,1,N,000005935
AL0020400,CITRONELLE                    ,6 ,6,3,1,N,000003708
AL0020500,SARALAND                      ,5 ,6,3,1,N,000012893
AL0020600,BAYOU LA BATRE                ,6 ,6,3,1,N,000002716
AL0020700,SATSUMA                       ,6 ,6,3,1,N,000006029
AL0020800,MOUNT VERNON                  ,7 ,6,3,1,N,000000817
AL0020900,WILMER                        ,7 ,6,3,0,N,000000000
AL0021200,CREOLA                        ,7 ,6,3,1,N,000002082
AL0021400,MOBILE                        ,7 ,6,3,3,N,000000000
AL0021500,DAUPHIN ISLAND                ,7 ,6,3,1,N,000001605
AL003FA00,MONTGOMERY                    ,7 ,6,3,3,N,000000000
AL0030000,MONTGOMERY                    ,9C,6,3,2,N,000022162
AL0030100,MONTGOMERY                    ,2 ,6,3,1,Y,000204398
AL0030300,MONTGOMERY                    ,9E,6,3,5,N,000000000
AL0030400,MONTGOMERY                    ,9D,6,3,5,N,000000000
AL0030500,MONTGOMERY                    ,9D,6,3,5,N,000000000
AL0030600,MONTGOMERY                    ,7 ,6,3,3,N,000000000
AL0030700,MONTGOMERY                    ,7 ,6,3,3,N,000000000
AL0030800,MONTGOMERY                    ,9D,6,3,5,N,000000000
AL0031300,MONTGOMERY                    ,9D,6,3,5,N,000000000
AL0031900,MONTGOMERY                    ,7 ,6,3,0,N,000000000
AL0032200,MONTGOMERY                    ,7 ,6,3,0,N,000000000
AL0040000,PRATTVILLE                    ,9C,6,3,2,N,000018691
AL0040100,PRATTVILLE                    ,4 ,6,3,1,N,000031242
AL0040200,AUTAUGAVILLE                  ,7 ,6,3,1,N,000000877
AL0050000,BAY MINETTE                   ,8B,6,3,2,N,000086013
