agency,city,population_group,country_division,country_region,agency_indicator,core_city,population
ALAST0000,MONTGOMERY                    ,8D,6,3,4,N,000000000
ALDI00300,ATMORE                        ,7 ,6,3,7,N,000000000
AL0010000,BIRMINGHAM                    ,9A,6,3,2,N,000149479
AL0010100,BESSEMER                      ,4 ,6,3,1,N,000028881
AL0010200,BIRMINGHAM                    ,2 ,6,3,1,Y,000230377
AL0010300,BIRMINGHAM                    ,5 ,6,3,1,N,000021312
AL0010400,FAIRFIELD                     ,5 ,6,3,1,N,000011344
AL0010500,GARDENDALE                    ,5 ,6,3,1,N,000014048
AL0010600,LEEDS                         ,5 ,6,3,1,N,000009842
AL0010700,MIDFIELD                      ,6 ,6,3,1,N,000005215
AL0010800,BIRMINGHAM                    ,6 ,6,3,1,N,000006529
AL0010900,BIRMINGHAM                    ,4 ,6,3,1,N,000031396
AL0011000,BIRMINGHAM                    ,5 ,6,3,1,N,000024101
AL0011100,FULTONDALE                    ,6 ,6,3,1,N,000007095
AL0011200,HOOVER                        ,3 ,6,3,1,Y,000052809
AL0011300,IRONDALE                      ,6 ,6,3,1,N,000009865
AL0011400,PLEASANT GROVE                ,5 ,6,3,1,N,000010407
AL0011500,ROOSEVELT CITY                ,7 ,6,3,0,N,000000000
AL0011600,GRAYSVILLE                    ,7 ,6,3,1,N,000002394
AL0011700,BIRMINGHAM                    ,7 ,6,3,0,N,000000000
AL0011800,BESSEMER                      ,6 ,6,3,1,N,000003381
AL0011900,BESSEMER                      ,5 ,6,3,1,N,000015942
AL0012000,BESSEMER                      ,7 ,6,3,1,N,000002036
AL0012100,TRUSSVILLE                    ,5 ,6,3,1,N,000019664
AL0012200,ADAMSVILLE                    ,6 ,6,3,1,N,000004796
AL0012300,WARRIOR                       ,6 ,6,3,1,N,000003171
AL0012400,BIRMINGHAM                    ,7 ,6,3,3,N,000000000
AL0012500,TRAFFORD                      ,7 ,6,3,1,N,000000500
AL0012600,MORRIS                        ,7 ,6,3,1,N,000001927
AL0012700,BROOKSIDE                     ,7 ,6,3,1,N,000001343
AL0012800,BIRMINGHAM                    ,7 ,6,3,0,N,000000082
AL0012900,KIMBERLY                      ,6 ,6,3,1,N,000003027
AL0013000,BIRMINGHAM                    ,7 ,6,3,0,N,000000156
AL0013500,BIRMINGHAM                    ,7 ,6,3,5,N,000000000
AL0020000,MOBILE                        ,9B,6,3,2,N,000096770
AL0020100,MOBILE                        ,1C,6,3,1,Y,000255178
AL0020200,PRICHARD                      ,4 ,6,3,1,N,000027725
AL0020300,MOBILE                        ,6 ,6,3,1,N,000005948
AL0020400,CITRONELLE                    ,6 ,6,3,1,N,000003791
AL0020500,SARALAND                      ,5 ,6,3,1,N,000013238
AL0020600,BAYOU LA BATRE                ,6 ,6,3,1,N,000003253
AL0020700,SATSUMA                       ,6 ,6,3,1,N,000006120
AL0020800,MOUNT VERNON                  ,7 ,6,3,1,N,000000819
AL0020900,WILMER                        ,7 ,6,3,0,N,000000000
AL0021200,CREOLA                        ,7 ,6,3,1,N,000002100
AL0021400,MOBILE                        ,7 ,6,3,3,N,000000000
AL0021500,DAUPHIN ISLAND                ,7 ,6,3,1,N,000001640
AL003FA00,MONTGOMERY                    ,7 ,6,3,3,N,000000000
AL0030000,MONTGOMERY                    ,9C,6,3,2,N,000022220
AL0030100,MONTGOMERY                    ,2 ,6,3,1,Y,000203966
