agency,city,population_group,country_division,country_region,agency_indicator,core_city,population
ALAST0000,MONTGOMERY                    ,8D,6,3,4,N,000000000
ALDI00300,ATMORE                        ,7 ,6,3,7,N,000000000
AL0010000,BIRMINGHAM                    ,9A,6,3,2,N,000146044
AL0010100,BESSEMER                      ,4 ,6,3,1,N,000027588
AL0010200,BIRMINGHAM                    ,2 ,6,3,1,Y,000211622
AL0010300,BIRMINGHAM                    ,5 ,6,3,1,N,000020511
AL0010400,FAIRFIELD                     ,5 ,6,3,1,N,000011171
AL0010500,GARDENDALE                    ,5 ,6,3,1,N,000013960
AL0010600,LEEDS                         ,5 ,6,3,1,N,000009856
AL0010700,MIDFIELD                      ,6 ,6,3,1,N,000005391
AL0010800,BIRMINGHAM                    ,6 ,6,3,1,N,000006428
AL0010900,BIRMINGHAM                    ,4 ,6,3,1,N,000034183
AL0011000,BIRMINGHAM                    ,4 ,6,3,1,N,000025288
AL0011100,FULTONDALE                    ,6 ,6,3,1,N,000008420
AL0011200,HOOVER                        ,3 ,6,3,1,Y,000058864
AL0011300,IRONDALE                      ,5 ,6,3,1,N,000012408
AL0011400,PLEASANT GROVE                ,5 ,6,3,1,N,000010159
AL0011500,ROOSEVELT CITY                ,7 ,6,3,0,N,000000000
AL0011600,GRAYSVILLE                    ,7 ,6,3,1,N,000002175
AL0011700,BIRMINGHAM                    ,7 ,6,3,0,N,000000000
AL0011800,BESSEMER                      ,6 ,6,3,1,N,000002959
AL0011900,BESSEMER                      ,5 ,6,3,1,N,000016183
AL0012000,BESSEMER                      ,7 ,6,3,1,N,000002221
AL0012100,TRUSSVILLE                    ,5 ,6,3,1,N,000019544
AL0012200,ADAMSVILLE                    ,6 ,6,3,1,N,000004544
AL0012300,WARRIOR                       ,6 ,6,3,1,N,000003191
AL0012400,BIRMINGHAM                    ,7 ,6,3,3,N,000000000
AL0012500,TRAFFORD                      ,7 ,6,3,1,N,000000649
AL0012600,MORRIS                        ,7 ,6,3,1,N,000001868
AL0012700,BROOKSIDE                     ,7 ,6,3,1,N,000001370
AL0012800,BIRMINGHAM                    ,7 ,6,3,0,N,000000055
AL0012900,KIMBERLY                      ,6 ,6,3,1,N,000002724
AL0013000,BIRMINGHAM                    ,7 ,6,3,0,N,000000198
AL0013500,BIRMINGHAM                    ,7 ,6,3,5,N,000000000
AL0020000,MOBILE                        ,9A,6,3,2,N,000103285
AL0020100,MOBILE                        ,1C,6,3,1,Y,000251869
AL0020200,PRICHARD                      ,5 ,6,3,1,N,000022768
AL0020300,MOBILE                        ,6 ,6,3,1,N,000006135
AL0020400,CITRONELLE                    ,6 ,6,3,1,N,000003924
AL0020500,SARALAND                      ,5 ,6,3,1,N,000013470
AL0020600,BAYOU LA BATRE                ,6 ,6,3,1,N,000002570
AL0020700,SATSUMA                       ,6 ,6,3,1,N,000006198
AL0020800,MOUNT VERNON                  ,7 ,6,3,1,N,000001582
AL0020900,WILMER                        ,7 ,6,3,0,N,000000000
AL0021200,CREOLA                        ,7 ,6,3,1,N,000001935
AL0021400,MOBILE                        ,7 ,6,3,3,N,000000000
AL0021500,DAUPHIN ISLAND                ,7 ,6,3,1,N,000001244
AL003FA00,MONTGOMERY                    ,7 ,6,3,3,N,000000000
AL0030000,MONTGOMERY                    ,9C,6,3,2,N,000023713
AL0030100,MONTGOMERY                    ,2 ,6,3,1,Y,000206754
