agency,city,population_group,country_division,country_region,agency_indicator,core_city,population
ALAST0000,MONTGOMERY                    ,8D,6,3,4,N,000000000
ALDI00300,ATMORE                        ,7 ,6,3,7,N,000000000
AL0010000,BIRMINGHAM                    ,9A,6,3,2,N,000145801
AL0010100,BESSEMER                      ,4 ,6,3,1,N,000026828
AL0010200,BIRMINGHAM                    ,2 ,6,3,1,Y,000210515
AL0010300,BIRMINGHAM                    ,5 ,6,3,1,N,000020801
AL0010400,FAIRFIELD                     ,5 ,6,3,1,N,000010958
AL0010500,GARDENDALE                    ,5 ,6,3,1,N,000013690
AL0010600,LEEDS                         ,5 ,6,3,1,N,000009884
AL0010700,MIDFIELD                      ,6 ,6,3,1,N,000005240
AL0010800,BIRMINGHAM                    ,6 ,6,3,1,N,000006225
AL0010900,BIRMINGHAM                    ,4 ,6,3,1,N,000034131
AL0011000,BIRMINGHAM                    ,4 ,6,3,1,N,000025968
AL0011100,FULTONDALE                    ,6 ,6,3,1,N,000009044
AL0011200,HOOVER                        ,3 ,6,3,1,Y,000060648
AL0011300,IRONDALE                      ,5 ,6,3,1,N,000012469
AL0011400,PLEASANT GROVE                ,5 ,6,3,1,N,000010382
AL0011500,ROOSEVELT CITY                ,7 ,6,3,0,N,000000000
AL0011600,GRAYSVILLE                    ,7 ,6,3,0,N,000002103
AL0011700,BIRMINGHAM                    ,7 ,6,3,0,N,000000000
AL0011800,BESSEMER                      ,6 ,6,3,1,N,000002870
AL0011900,BESSEMER                      ,5 ,6,3,1,N,000015745
AL0012000,BESSEMER                      ,7 ,6,3,1,N,000002167
AL0012100,TRUSSVILLE                    ,5 ,6,3,1,N,000020343
AL0012200,ADAMSVILLE                    ,6 ,6,3,1,N,000004414
AL0012300,WARRIOR                       ,6 ,6,3,1,N,000003194
AL0012400,BIRMINGHAM                    ,7 ,6,3,3,N,000000000
AL0012500,TRAFFORD                      ,7 ,6,3,1,N,000000639
AL0012600,MORRIS                        ,7 ,6,3,1,N,000001926
AL0012700,BROOKSIDE                     ,7 ,6,3,1,N,000001335
AL0012800,BIRMINGHAM                    ,7 ,6,3,0,N,000000054
AL0012900,KIMBERLY                      ,6 ,6,3,1,N,000002868
AL0013000,BIRMINGHAM                    ,7 ,6,3,0,N,000000202
AL0013200,MCCALLA                       ,7 ,6,3,6,N,000000000
AL0013400,BIRMINGHAM                    ,7 ,6,3,3,N,000000000
AL0013500,BIRMINGHAM                    ,7 ,6,3,5,N,000000000
AL0014100,BIRMINGHAM                    ,7 ,6,3,3,N,000000000
AL0014500,TRUSSVILLE                    ,7 ,6,3,5,N,000000000
AL0020000,MOBILE                        ,9A,6,3,2,N,000105181
AL0020100,MOBILE                        ,1C,6,3,1,Y,000250346
AL0020200,PRICHARD                      ,5 ,6,3,1,N,000022236
AL0020300,MOBILE                        ,6 ,6,3,1,N,000005954
AL0020400,CITRONELLE                    ,6 ,6,3,1,N,000003881
AL0020500,SARALAND                      ,5 ,6,3,1,N,000013778
AL0020600,BAYOU LA BATRE                ,6 ,6,3,1,N,000002621
AL0020700,SATSUMA                       ,6 ,6,3,1,N,000006169
AL0020800,MOUNT VERNON                  ,7 ,6,3,1,N,000001557
AL0020900,WILMER                        ,7 ,6,3,0,N,000000000
AL0021200,CREOLA                        ,7 ,6,3,1,N,000001947
AL0021300,MOBILE                        ,7 ,6,3,5,N,000000000
